long_B,stopA_id,stopB_id,lat_A,long_A,lat_B,distance,time
-0.317257,S10,S11,5.67904,-0.350009,5.6963,4379,459
-0.402923,S100,S101,5.53851,-0.400462,5.53779,281,26
-0.402985,S100,S907,5.53851,-0.400462,5.53782,290,28
-0.228926,S1000,S1001,5.53417,-0.235723,5.53562,770,113
-0.23291,S1000,S1153,5.53417,-0.235723,5.53479,319,42
-0.244422,S1000,S2093,5.53417,-0.235723,5.5348,1015,187
-0.242188,S1000,S4917,5.53417,-0.235723,5.53459,739,127
-0.23291,S1001,S1153,5.53562,-0.228926,5.53479,450,67
-0.237301,S1001,S4360,5.53562,-0.228926,5.53387,947,152
-0.243684,S1001,S998,5.53562,-0.228926,5.53505,1682,269
-0.230805,S1001,T2497,5.53562,-0.228926,5.53665,293,55
-0.237963,S1003,S1154,5.53853,-0.215757,5.53375,2517,442
-0.213043,S1003,S4512,5.53853,-0.215757,5.53895,308,84
-0.215313,S1003,S898,5.53853,-0.215757,5.5412,441,124
-0.216699,S1005,S899,5.54324,-0.216218,5.54507,225,67
-0.215964,S1007,T1081,5.54756,-0.217718,5.54539,398,74
-0.217147,S1007,T883,5.54756,-0.217718,5.54963,406,88
-0.412741,S101,S102,5.53779,-0.402923,5.53572,1116,93
-0.230566,S1011,S1013,5.55697,-0.231807,5.55235,4608,442
-0.231403,S1011,S1018,5.55697,-0.231807,5.55389,356,51
-0.225258,S1013,S1014,5.55235,-0.230566,5.54121,2155,243
-0.21526,S1014,S1015,5.54121,-0.225258,5.53856,1384,194
-0.21552,S1015,S925,5.53856,-0.21526,5.53856,28,4
-0.222124,S1018,S2664,5.55389,-0.231403,5.5386,2040,161
-0.423064,S102,S5407,5.53572,-0.412741,5.53492,1158,319
-0.423644,S102,T103,5.53572,-0.412741,5.53462,1634,540
-0.231264,S1022,S1023,5.53802,-0.218211,5.55802,3293,368
-0.255804,S1022,S1854,5.53802,-0.218211,5.5368,4280,644
-0.232579,S1023,S1025,5.55802,-0.231264,5.56335,1509,303
-0.231442,S1023,S2178,5.55802,-0.231264,5.55393,480,65
-0.232402,S1023,S4727,5.55802,-0.231264,5.55566,347,51
-0.234364,S1025,S1102,5.56335,-0.232579,5.56432,2263,385
-0.235921,S1025,T75,5.56335,-0.232579,5.56507,2073,352
-0.210928,S1032,S206,5.55764,-0.212383,5.55201,647,137
-0.216965,S1037,S1038,5.58282,-0.216685,5.5908,1027,161
-0.216658,S1038,S1039,5.5908,-0.216965,5.59415,377,81
-0.216953,S1038,T1028,5.5908,-0.216965,5.5957,551,119
-0.217003,S1039,S2938,5.59415,-0.216658,5.59845,479,105
-0.216953,S1039,T1028,5.59415,-0.216658,5.5957,174,38
-0.209835,S1051,S1052,5.5984,-0.212234,5.59636,349,63
-0.204736,S1052,T1053,5.59636,-0.209835,5.5919,753,188
-0.216901,S1056,S1057,5.59465,-0.216799,5.59172,330,72
-0.217519,S1057,T1048,5.59172,-0.216901,5.59087,137,36
